ProductRefId,DeviceCount
M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1,11
M-0071_H-ZVIZ35V2-1_P-ZVIZ35V2,9
M-0071_H-ZVIT55X4-1_P-ZVIT55X4,6
M-0071_H-ZN1111-4_P-ZN1CL.2DIRSC,4
M-0071_H-ZPDEZTPV2-1_P-ZPDEZTPV2,4
M-0071_H-ZVIT55X6-1_P-ZVIT55X6,4
M-0071_H-ZIOMBSH8V3-0_P-ZIOMBSH8V3,3
M-0071_H-ZDID64V3-1_P-ZDID64V3,2
M-0071_H-ZIOMB16V4-0_P-ZIOMB16V4,2
M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,2
M-0071_H-ZVI.2DTMDP4-0_P-ZVI.2DTMDP4,2
M-0071_H-ZVI.2DTMDP6-0_P-ZVI.2DTMDP6,2
M-0071_H-ZIOMB24V2-0_P-ZIOMB24V2,1
M-0071_H-ZPSU640-1_P-ZPSU640,1
M-0071_H-ZSYKIPISC-1_P-ZSYKIPISC,1
M-0071_H-ZVI.2DTMDP8-0_P-ZVI.2DTMDP8,1
M-0071_H-ZVIZ100-1_P-ZVIZ100,1
