DeviceId,IndividualAddress,Device,ChannelOrDomain,OutputOrObject,ProjectGroupName,DPT,PhysicalDomain,EvidenceLevel
P-07BC-0_DI-11,1,KIPI SC — KNX-IP interface,,,,,Control/device,No physical terminal-to-load mapping is encoded in the project instance
P-07BC-0_DI-12,2,DALI BOX Interface 64 v3 — up to 64 DALI ballasts,,DALI bus,,,DALI lighting,Device type is explicit; exact ballast/group mapping is not visible from the DeviceInstance links
P-07BC-0_DI-13,3,DALI BOX Interface 64 v3 — up to 64 DALI ballasts,,DALI bus,,,DALI lighting,Device type is explicit; exact ballast/group mapping is not visible from the DeviceInstance links
P-07BC-0_DI-14,4,MAXinBOX 8 v4 — 8 relay outputs,1,Relay 1,Move Garage,DPST-1-6,Garage motor command,Inferred from 8-output capacity + project GA sequence
P-07BC-0_DI-14,4,MAXinBOX 8 v4 — 8 relay outputs,2,Relay 2,Stop Garage,DPST-1-6,Garage stop,Inferred; verify physical terminal on electrical schedule
P-07BC-0_DI-14,4,MAXinBOX 8 v4 — 8 relay outputs,3,Relay 3,On/Off 3,DPST-1-6,Lighting output,Inferred from project GA sequence
P-07BC-0_DI-14,4,MAXinBOX 8 v4 — 8 relay outputs,4,Relay 4,On/Off 4,DPST-1-6,Lighting output,Inferred from project GA sequence
P-07BC-0_DI-14,4,MAXinBOX 8 v4 — 8 relay outputs,5,Relay 5,On/Off 5,DPST-1-6,Lighting output,Inferred from project GA sequence
P-07BC-0_DI-14,4,MAXinBOX 8 v4 — 8 relay outputs,6,Relay 6,On/Off 6,DPST-1-6,Lighting output,Inferred from project GA sequence
P-07BC-0_DI-14,4,MAXinBOX 8 v4 — 8 relay outputs,7,Relay 7,On/Off 7,DPST-1-6,Lighting output,Inferred from project GA sequence
P-07BC-0_DI-14,4,MAXinBOX 8 v4 — 8 relay outputs,8,Relay 8,On/Off 8,DPST-1-6,Lighting output,Inferred from project GA sequence
P-07BC-0_DI-15,5,MAXinBOX 8 v4 — 8 relay outputs,1,Relay 1,Move Garage,,Garage motor command,Inferred from 8-output capacity + project GA sequence
P-07BC-0_DI-15,5,MAXinBOX 8 v4 — 8 relay outputs,2,Relay 2,Stop Garage,,Garage stop,Inferred; verify physical terminal on electrical schedule
P-07BC-0_DI-15,5,MAXinBOX 8 v4 — 8 relay outputs,3,Relay 3,On/Off 3,,Lighting output,Inferred from project GA sequence
P-07BC-0_DI-15,5,MAXinBOX 8 v4 — 8 relay outputs,4,Relay 4,On/Off 4,,Lighting output,Inferred from project GA sequence
P-07BC-0_DI-15,5,MAXinBOX 8 v4 — 8 relay outputs,5,Relay 5,On/Off 5,,Lighting output,Inferred from project GA sequence
P-07BC-0_DI-15,5,MAXinBOX 8 v4 — 8 relay outputs,6,Relay 6,On/Off 6,,Lighting output,Inferred from project GA sequence
P-07BC-0_DI-15,5,MAXinBOX 8 v4 — 8 relay outputs,7,Relay 7,On/Off 7,,Lighting output,Inferred from project GA sequence
P-07BC-0_DI-15,5,MAXinBOX 8 v4 — 8 relay outputs,8,Relay 8,On/Off 8,,Lighting output,Inferred from project GA sequence
P-07BC-0_DI-16,6,MAXinBOX 16 v4 — 16 relay outputs,1,Relay 1,On/Off 17,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-16,6,MAXinBOX 16 v4 — 16 relay outputs,2,Relay 2,On/Off 18,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-16,6,MAXinBOX 16 v4 — 16 relay outputs,3,Relay 3,On/Off 19,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-16,6,MAXinBOX 16 v4 — 16 relay outputs,4,Relay 4,On/Off 20,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-16,6,MAXinBOX 16 v4 — 16 relay outputs,5,Relay 5,On/Off 21,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
