Tag,Selected Attributes
DeviceInstance,"{""Id"": ""P-07BC-0_DI-10"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZPSU640-1_P-ZPSU640"", ""Hardware2ProgramRefId"": ""M-0071_H-ZPSU640-1_HP"", ""Description"": """", ""Puid"": ""1274""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-11"", ""Address"": ""1"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZSYKIPISC-1_P-ZSYKIPISC"", ""Hardware2ProgramRefId"": ""M-0071_H-ZSYKIPISC-1_HP-6391-11-346B"", ""Description"": """", ""Puid"": ""1275""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-12"", ""Address"": ""2"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZDID64V3-1_P-ZDID64V3"", ""Hardware2ProgramRefId"": ""M-0071_H-ZDID64V3-1_HP-3351-20-2390"", ""Description"": """", ""Puid"": ""1281""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-13"", ""Address"": ""3"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZDID64V3-1_P-ZDID64V3"", ""Hardware2ProgramRefId"": ""M-0071_H-ZDID64V3-1_HP-3351-20-2390"", ""Description"": """", ""Puid"": ""1282""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-14"", ""Address"": ""4"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4"", ""Hardware2ProgramRefId"": ""M-0071_H-ZIOMB8V4-0_HP-4991-1C-AED6"", ""Description"": """", ""Puid"": ""1283""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-15"", ""Address"": ""5"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4"", ""Hardware2ProgramRefId"": ""M-0071_H-ZIOMB8V4-0_HP-4991-1C-AED6"", ""Description"": """", ""Puid"": ""1284""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-16"", ""Address"": ""6"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZIOMB16V4-0_P-ZIOMB16V4"", ""Hardware2ProgramRefId"": ""M-0071_H-ZIOMB16V4-0_HP-4981-1C-94CF"", ""Description"": """", ""Puid"": ""1285""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-17"", ""Address"": ""7"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZIOMB16V4-0_P-ZIOMB16V4"", ""Hardware2ProgramRefId"": ""M-0071_H-ZIOMB16V4-0_HP-4981-1C-94CF"", ""Description"": """", ""Puid"": ""1286""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-18"", ""Address"": ""8"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZIOMB24V2-0_P-ZIOMB24V2"", ""Hardware2ProgramRefId"": ""M-0071_H-ZIOMB24V2-0_HP-4951-1C-7327"", ""Description"": """", ""Puid"": ""1287""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-19"", ""Address"": ""9"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZIOMBSH8V3-0_P-ZIOMBSH8V3"", ""Hardware2ProgramRefId"": ""M-0071_H-ZIOMBSH8V3-0_HP-4B51-1C-84FC"", ""Description"": ""\t\t\t\t\t\t"", ""Puid"": ""1288""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-20"", ""Address"": ""10"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZIOMBSH8V3-0_P-ZIOMBSH8V3"", ""Hardware2ProgramRefId"": ""M-0071_H-ZIOMBSH8V3-0_HP-4B51-1C-84FC"", ""Description"": ""\t\t\t\t\t\t"", ""Puid"": ""1289""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-21"", ""Address"": ""11"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZIOMBSH8V3-0_P-ZIOMBSH8V3"", ""Hardware2ProgramRefId"": ""M-0071_H-ZIOMBSH8V3-0_HP-4B51-1C-84FC"", ""Description"": ""\t\t\t\t\t\t"", ""Puid"": ""1290""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-22"", ""Address"": ""12"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1"", ""Hardware2ProgramRefId"": ""M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621"", ""Description"": """", ""Puid"": ""1291""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-24"", ""Address"": ""13"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1"", ""Hardware2ProgramRefId"": ""M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621"", ""Description"": """", ""Puid"": ""1293""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-25"", ""Address"": ""14"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1"", ""Hardware2ProgramRefId"": ""M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621"", ""Description"": """", ""Puid"": ""1294""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-26"", ""Address"": ""15"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1"", ""Hardware2ProgramRefId"": ""M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621"", ""Description"": """", ""Puid"": ""1295""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-27"", ""Address"": ""16"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1"", ""Hardware2ProgramRefId"": ""M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621"", ""Description"": """", ""Puid"": ""1296""}"
