DeviceId,Address,Name,ProductRefId,Hardware2ProgramRefId,Puid,AreaAddress,AreaNumber,AreaName,LineAddress,LineNumber,LineName,SegmentAddress,SegmentName,SpaceId,SpaceName,NodeId,NodeName,ComObjectRefCount,ParameterRefCount
P-07BC-0_DI-10,,,M-0071_H-ZPSU640-1_P-ZPSU640,M-0071_H-ZPSU640-1_HP,1274,1,,,1,,,,,,,,,0,0
P-07BC-0_DI-11,1,,M-0071_H-ZSYKIPISC-1_P-ZSYKIPISC,M-0071_H-ZSYKIPISC-1_HP-6391-11-346B,1275,1,,,1,,,,,,,,,0,2
P-07BC-0_DI-12,2,,M-0071_H-ZDID64V3-1_P-ZDID64V3,M-0071_H-ZDID64V3-1_HP-3351-20-2390,1281,1,,,1,,,,,,,,,0,193
P-07BC-0_DI-13,3,,M-0071_H-ZDID64V3-1_P-ZDID64V3,M-0071_H-ZDID64V3-1_HP-3351-20-2390,1282,1,,,1,,,,,,,,,0,193
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,M-0071_H-ZIOMB8V4-0_HP-4991-1C-AED6,1283,1,,,1,,,,,,,,,16,17
P-07BC-0_DI-15,5,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,M-0071_H-ZIOMB8V4-0_HP-4991-1C-AED6,1284,1,,,1,,,,,,,,,16,16
P-07BC-0_DI-16,6,,M-0071_H-ZIOMB16V4-0_P-ZIOMB16V4,M-0071_H-ZIOMB16V4-0_HP-4981-1C-94CF,1285,1,,,1,,,,,,,,,32,30
P-07BC-0_DI-17,7,,M-0071_H-ZIOMB16V4-0_P-ZIOMB16V4,M-0071_H-ZIOMB16V4-0_HP-4981-1C-94CF,1286,1,,,1,,,,,,,,,32,30
P-07BC-0_DI-18,8,,M-0071_H-ZIOMB24V2-0_P-ZIOMB24V2,M-0071_H-ZIOMB24V2-0_HP-4951-1C-7327,1287,1,,,1,,,,,,,,,48,48
P-07BC-0_DI-19,9,,M-0071_H-ZIOMBSH8V3-0_P-ZIOMBSH8V3,M-0071_H-ZIOMBSH8V3-0_HP-4B51-1C-84FC,1288,1,,,1,,,,,,,,,24,38
P-07BC-0_DI-20,10,,M-0071_H-ZIOMBSH8V3-0_P-ZIOMBSH8V3,M-0071_H-ZIOMBSH8V3-0_HP-4B51-1C-84FC,1289,1,,,1,,,,,,,,,24,38
P-07BC-0_DI-21,11,,M-0071_H-ZIOMBSH8V3-0_P-ZIOMBSH8V3,M-0071_H-ZIOMBSH8V3-0_HP-4B51-1C-84FC,1290,1,,,1,,,,,,,,,6,38
P-07BC-0_DI-22,12,,M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1,M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621,1291,1,,,1,,,,,,,,,10,1
P-07BC-0_DI-24,13,,M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1,M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621,1293,1,,,1,,,,,,,,,10,1
P-07BC-0_DI-25,14,,M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1,M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621,1294,1,,,1,,,,,,,,,10,1
P-07BC-0_DI-26,15,,M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1,M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621,1295,1,,,1,,,,,,,,,10,1
P-07BC-0_DI-27,16,,M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1,M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621,1296,1,,,1,,,,,,,,,10,1
P-07BC-0_DI-28,17,,M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1,M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621,1297,1,,,1,,,,,,,,,10,1
