GroupAddressId,RawAddress,Name,DatapointType,GroupRangeId,GroupRangeName,Attributes
P-07BC-0_GA-619,2048,Move Garage ,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-619"", ""Address"": ""2048"", ""Name"": ""Move Garage "", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""647""}"
P-07BC-0_GA-620,2049,Move Garage Info,DPST-5-1,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-620"", ""Address"": ""2049"", ""Name"": ""Move Garage Info"", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""648""}"
P-07BC-0_GA-621,2050,Stop Garage ,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-621"", ""Address"": ""2050"", ""Name"": ""Stop Garage "", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""649""}"
P-07BC-0_GA-622,2051,Stop Garage Info,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-622"", ""Address"": ""2051"", ""Name"": ""Stop Garage Info"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""650""}"
P-07BC-0_GA-623,2052,On/Off 3,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-623"", ""Address"": ""2052"", ""Name"": ""On/Off 3"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""651""}"
P-07BC-0_GA-624,2053,On/Off 3 Info,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-624"", ""Address"": ""2053"", ""Name"": ""On/Off 3 Info"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""652""}"
P-07BC-0_GA-625,2054,On/Off 4,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-625"", ""Address"": ""2054"", ""Name"": ""On/Off 4"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""653""}"
P-07BC-0_GA-626,2055,On/Off 4 Info,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-626"", ""Address"": ""2055"", ""Name"": ""On/Off 4 Info"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""654""}"
P-07BC-0_GA-627,2056,On/Off 5,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-627"", ""Address"": ""2056"", ""Name"": ""On/Off 5"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""655""}"
P-07BC-0_GA-628,2057,On/Off 5 Info,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-628"", ""Address"": ""2057"", ""Name"": ""On/Off 5 Info"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""656""}"
P-07BC-0_GA-629,2058,On/Off 6,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-629"", ""Address"": ""2058"", ""Name"": ""On/Off 6"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""657""}"
P-07BC-0_GA-630,2059,On/Off 6 Info,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-630"", ""Address"": ""2059"", ""Name"": ""On/Off 6 Info"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""658""}"
P-07BC-0_GA-631,2060,On/Off 7,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-631"", ""Address"": ""2060"", ""Name"": ""On/Off 7"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""659""}"
P-07BC-0_GA-632,2061,On/Off 7 Info,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-632"", ""Address"": ""2061"", ""Name"": ""On/Off 7 Info"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""660""}"
P-07BC-0_GA-633,2062,On/Off 8,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-633"", ""Address"": ""2062"", ""Name"": ""On/Off 8"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""661""}"
P-07BC-0_GA-634,2063,On/Off 8 Info,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-634"", ""Address"": ""2063"", ""Name"": ""On/Off 8 Info"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""662""}"
P-07BC-0_GA-635,2064,On/Off 9,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-635"", ""Address"": ""2064"", ""Name"": ""On/Off 9"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""663""}"
P-07BC-0_GA-636,2065,On/Off 9 Info,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-636"", ""Address"": ""2065"", ""Name"": ""On/Off 9 Info"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""664""}"
P-07BC-0_GA-637,2066,On/Off 10,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-637"", ""Address"": ""2066"", ""Name"": ""On/Off 10"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""665""}"
P-07BC-0_GA-638,2067,On/Off 10 Info,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-638"", ""Address"": ""2067"", ""Name"": ""On/Off 10 Info"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""666""}"
P-07BC-0_GA-639,2068,On/Off 11,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-639"", ""Address"": ""2068"", ""Name"": ""On/Off 11"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""667""}"
P-07BC-0_GA-640,2069,On/Off 11 Info ,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-640"", ""Address"": ""2069"", ""Name"": ""On/Off 11 Info "", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""668""}"
P-07BC-0_GA-641,2070,On/Off 12,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-641"", ""Address"": ""2070"", ""Name"": ""On/Off 12"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""669""}"
P-07BC-0_GA-642,2071,On/Off 12 Info ,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-642"", ""Address"": ""2071"", ""Name"": ""On/Off 12 Info "", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""670""}"
P-07BC-0_GA-643,2072,On/Off 13,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-643"", ""Address"": ""2072"", ""Name"": ""On/Off 13"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""671""}"
P-07BC-0_GA-644,2073,On/Off 13 Info,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-644"", ""Address"": ""2073"", ""Name"": ""On/Off 13 Info"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""672""}"
P-07BC-0_GA-645,2074,On/Off 14 ,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-645"", ""Address"": ""2074"", ""Name"": ""On/Off 14 "", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""673""}"
P-07BC-0_GA-646,2075,On/Off 14 Info,DPST-1-6,P-07BC-0_GR-8,Main ON/OFF,"{""Id"": ""P-07BC-0_GA-646"", ""Address"": ""2075"", ""Name"": ""On/Off 14 Info"", ""DatapointType"": ""DPST-1-6"", ""Puid"": ""674""}"
