DeviceId,DeviceAddress,Tag,Id,RefId,Links,GroupAddressRefId,ChannelId,DatapointType,Name,Attributes
P-07BC-0_DI-14,4,ComObjectInstanceRef,,O-28_R-33,GA-623,,CH-79,,,"{""RefId"": ""O-28_R-33"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-623""}"
P-07BC-0_DI-14,4,ComObjectInstanceRef,,O-29_R-35,GA-624,,CH-79,,,"{""RefId"": ""O-29_R-35"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-624""}"
P-07BC-0_DI-14,4,ComObjectInstanceRef,,O-39_R-46,GA-625,,CH-79,,,"{""RefId"": ""O-39_R-46"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-625""}"
P-07BC-0_DI-14,4,ComObjectInstanceRef,,O-40_R-48,GA-626,,CH-79,,,"{""RefId"": ""O-40_R-48"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-626""}"
P-07BC-0_DI-14,4,ComObjectInstanceRef,,O-50_R-59,GA-627,,CH-79,,,"{""RefId"": ""O-50_R-59"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-627""}"
P-07BC-0_DI-14,4,ComObjectInstanceRef,,O-51_R-61,GA-628,,CH-79,,,"{""RefId"": ""O-51_R-61"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-628""}"
P-07BC-0_DI-14,4,ComObjectInstanceRef,,O-61_R-72,GA-629,,CH-79,,,"{""RefId"": ""O-61_R-72"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-629""}"
P-07BC-0_DI-14,4,ComObjectInstanceRef,,O-62_R-74,GA-630,,CH-79,,,"{""RefId"": ""O-62_R-74"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-630""}"
P-07BC-0_DI-14,4,ComObjectInstanceRef,,O-72_R-85,GA-631,,CH-79,,,"{""RefId"": ""O-72_R-85"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-631""}"
P-07BC-0_DI-14,4,ComObjectInstanceRef,,O-73_R-87,GA-632,,CH-79,,,"{""RefId"": ""O-73_R-87"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-632""}"
P-07BC-0_DI-14,4,ComObjectInstanceRef,,O-83_R-98,GA-633,,CH-79,,,"{""RefId"": ""O-83_R-98"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-633""}"
P-07BC-0_DI-14,4,ComObjectInstanceRef,,O-84_R-100,GA-634,,CH-79,,,"{""RefId"": ""O-84_R-100"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-634""}"
P-07BC-0_DI-14,4,ComObjectInstanceRef,,O-271_R-2743,GA-621,,CH-79,,,"{""RefId"": ""O-271_R-2743"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-621""}"
P-07BC-0_DI-14,4,ComObjectInstanceRef,,O-270_R-2741,GA-619,,CH-79,,,"{""RefId"": ""O-270_R-2741"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-619""}"
P-07BC-0_DI-14,4,ComObjectInstanceRef,,O-282_R-2752,GA-622,,CH-79,,,"{""RefId"": ""O-282_R-2752"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-622""}"
P-07BC-0_DI-14,4,ComObjectInstanceRef,,O-283_R-2753,GA-619,,CH-79,,,"{""RefId"": ""O-283_R-2753"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-619""}"
