DeviceId,DeviceAddress,ModuleId,RefId,Name,RepeatIndex,Attributes
P-07BC-0_DI-12,2,MD-1_M-1_MI-1,MD-1_M-1,,66x1 67x1,"{""Id"": ""MD-1_M-1_MI-1"", ""RefId"": ""MD-1_M-1"", ""RepeatIndex"": ""66x1 67x1""}"
P-07BC-0_DI-13,3,MD-1_M-1_MI-1,MD-1_M-1,,66x1 67x1,"{""Id"": ""MD-1_M-1_MI-1"", ""RefId"": ""MD-1_M-1"", ""RepeatIndex"": ""66x1 67x1""}"
P-07BC-0_DI-85,43,MD-1_M-9_MI-1,MD-1_M-9,,1859x1 1860x1,"{""Id"": ""MD-1_M-9_MI-1"", ""RefId"": ""MD-1_M-9"", ""RepeatIndex"": ""1859x1 1860x1""}"
P-07BC-0_DI-85,43,MD-1_M-9_MI-2,MD-1_M-9,,1859x2 1860x1,"{""Id"": ""MD-1_M-9_MI-2"", ""RefId"": ""MD-1_M-9"", ""RepeatIndex"": ""1859x2 1860x1""}"
P-07BC-0_DI-85,43,MD-1_M-9_MI-3,MD-1_M-9,,1859x3 1860x1,"{""Id"": ""MD-1_M-9_MI-3"", ""RefId"": ""MD-1_M-9"", ""RepeatIndex"": ""1859x3 1860x1""}"
P-07BC-0_DI-85,43,MD-1_M-9_MI-4,MD-1_M-9,,1859x4 1860x1,"{""Id"": ""MD-1_M-9_MI-4"", ""RefId"": ""MD-1_M-9"", ""RepeatIndex"": ""1859x4 1860x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-1,MD-2_M-8,,1887x1 1888x1,"{""Id"": ""MD-2_M-8_MI-1"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x1 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-10,MD-2_M-8,,1887x10 1888x1,"{""Id"": ""MD-2_M-8_MI-10"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x10 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-11,MD-2_M-8,,1887x11 1888x1,"{""Id"": ""MD-2_M-8_MI-11"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x11 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-12,MD-2_M-8,,1887x12 1888x1,"{""Id"": ""MD-2_M-8_MI-12"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x12 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-13,MD-2_M-8,,1887x13 1888x1,"{""Id"": ""MD-2_M-8_MI-13"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x13 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-14,MD-2_M-8,,1887x14 1888x1,"{""Id"": ""MD-2_M-8_MI-14"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x14 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-15,MD-2_M-8,,1887x15 1888x1,"{""Id"": ""MD-2_M-8_MI-15"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x15 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-16,MD-2_M-8,,1887x16 1888x1,"{""Id"": ""MD-2_M-8_MI-16"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x16 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-17,MD-2_M-8,,1887x17 1888x1,"{""Id"": ""MD-2_M-8_MI-17"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x17 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-18,MD-2_M-8,,1887x18 1888x1,"{""Id"": ""MD-2_M-8_MI-18"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x18 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-19,MD-2_M-8,,1887x19 1888x1,"{""Id"": ""MD-2_M-8_MI-19"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x19 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-2,MD-2_M-8,,1887x2 1888x1,"{""Id"": ""MD-2_M-8_MI-2"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x2 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-20,MD-2_M-8,,1887x20 1888x1,"{""Id"": ""MD-2_M-8_MI-20"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x20 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-3,MD-2_M-8,,1887x3 1888x1,"{""Id"": ""MD-2_M-8_MI-3"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x3 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-4,MD-2_M-8,,1887x4 1888x1,"{""Id"": ""MD-2_M-8_MI-4"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x4 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-5,MD-2_M-8,,1887x5 1888x1,"{""Id"": ""MD-2_M-8_MI-5"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x5 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-6,MD-2_M-8,,1887x6 1888x1,"{""Id"": ""MD-2_M-8_MI-6"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x6 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-7,MD-2_M-8,,1887x7 1888x1,"{""Id"": ""MD-2_M-8_MI-7"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x7 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-8,MD-2_M-8,,1887x8 1888x1,"{""Id"": ""MD-2_M-8_MI-8"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x8 1888x1""}"
P-07BC-0_DI-85,43,MD-2_M-8_MI-9,MD-2_M-8,,1887x9 1888x1,"{""Id"": ""MD-2_M-8_MI-9"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x9 1888x1""}"
P-07BC-0_DI-86,42,MD-1_M-9_MI-1,MD-1_M-9,,1859x1 1860x1,"{""Id"": ""MD-1_M-9_MI-1"", ""RefId"": ""MD-1_M-9"", ""RepeatIndex"": ""1859x1 1860x1""}"
P-07BC-0_DI-86,42,MD-1_M-9_MI-2,MD-1_M-9,,1859x2 1860x1,"{""Id"": ""MD-1_M-9_MI-2"", ""RefId"": ""MD-1_M-9"", ""RepeatIndex"": ""1859x2 1860x1""}"
P-07BC-0_DI-86,42,MD-1_M-9_MI-3,MD-1_M-9,,1859x3 1860x1,"{""Id"": ""MD-1_M-9_MI-3"", ""RefId"": ""MD-1_M-9"", ""RepeatIndex"": ""1859x3 1860x1""}"
P-07BC-0_DI-86,42,MD-1_M-9_MI-4,MD-1_M-9,,1859x4 1860x1,"{""Id"": ""MD-1_M-9_MI-4"", ""RefId"": ""MD-1_M-9"", ""RepeatIndex"": ""1859x4 1860x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-1,MD-2_M-8,,1887x1 1888x1,"{""Id"": ""MD-2_M-8_MI-1"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x1 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-10,MD-2_M-8,,1887x10 1888x1,"{""Id"": ""MD-2_M-8_MI-10"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x10 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-11,MD-2_M-8,,1887x11 1888x1,"{""Id"": ""MD-2_M-8_MI-11"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x11 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-12,MD-2_M-8,,1887x12 1888x1,"{""Id"": ""MD-2_M-8_MI-12"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x12 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-13,MD-2_M-8,,1887x13 1888x1,"{""Id"": ""MD-2_M-8_MI-13"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x13 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-14,MD-2_M-8,,1887x14 1888x1,"{""Id"": ""MD-2_M-8_MI-14"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x14 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-15,MD-2_M-8,,1887x15 1888x1,"{""Id"": ""MD-2_M-8_MI-15"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x15 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-16,MD-2_M-8,,1887x16 1888x1,"{""Id"": ""MD-2_M-8_MI-16"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x16 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-17,MD-2_M-8,,1887x17 1888x1,"{""Id"": ""MD-2_M-8_MI-17"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x17 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-18,MD-2_M-8,,1887x18 1888x1,"{""Id"": ""MD-2_M-8_MI-18"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x18 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-19,MD-2_M-8,,1887x19 1888x1,"{""Id"": ""MD-2_M-8_MI-19"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x19 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-2,MD-2_M-8,,1887x2 1888x1,"{""Id"": ""MD-2_M-8_MI-2"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x2 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-20,MD-2_M-8,,1887x20 1888x1,"{""Id"": ""MD-2_M-8_MI-20"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x20 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-3,MD-2_M-8,,1887x3 1888x1,"{""Id"": ""MD-2_M-8_MI-3"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x3 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-4,MD-2_M-8,,1887x4 1888x1,"{""Id"": ""MD-2_M-8_MI-4"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x4 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-5,MD-2_M-8,,1887x5 1888x1,"{""Id"": ""MD-2_M-8_MI-5"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x5 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-6,MD-2_M-8,,1887x6 1888x1,"{""Id"": ""MD-2_M-8_MI-6"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x6 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-7,MD-2_M-8,,1887x7 1888x1,"{""Id"": ""MD-2_M-8_MI-7"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x7 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-8,MD-2_M-8,,1887x8 1888x1,"{""Id"": ""MD-2_M-8_MI-8"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x8 1888x1""}"
P-07BC-0_DI-86,42,MD-2_M-8_MI-9,MD-2_M-8,,1887x9 1888x1,"{""Id"": ""MD-2_M-8_MI-9"", ""RefId"": ""MD-2_M-8"", ""RepeatIndex"": ""1887x9 1888x1""}"
P-07BC-0_DI-87,44,MD-1_M-9_MI-1,MD-1_M-9,,1859x1 1860x1,"{""Id"": ""MD-1_M-9_MI-1"", ""RefId"": ""MD-1_M-9"", ""RepeatIndex"": ""1859x1 1860x1""}"
P-07BC-0_DI-87,44,MD-1_M-9_MI-2,MD-1_M-9,,1859x2 1860x1,"{""Id"": ""MD-1_M-9_MI-2"", ""RefId"": ""MD-1_M-9"", ""RepeatIndex"": ""1859x2 1860x1""}"
