Tag,Id,Address,Number,Name,ParentArea,ParentLine,ParentSegment,ParentSpaceId,ParentSpaceName,Attributes
Installations,,,,,,,,,,{}
Installation,,,,,,,,,,"{""Name"": """", ""BCUKey"": ""4294967295"", ""DefaultLine"": ""P-07BC-0_L-3"", ""IPRoutingLatencyTolerance"": ""2000""}"
Topology,,,,,,,,,,{}
Area,P-07BC-0_A-1,0,,,0,,,,,"{""Id"": ""P-07BC-0_A-1"", ""Address"": ""0"", ""Puid"": ""1""}"
Line,P-07BC-0_L-1,0,,,0,0,,,,"{""Id"": ""P-07BC-0_L-1"", ""Address"": ""0"", ""Puid"": ""2""}"
Segment,P-07BC-0_S-1,,0,,0,0,,,,"{""Id"": ""P-07BC-0_S-1"", ""Number"": ""0"", ""MediumTypeRefId"": ""MT-5"", ""Puid"": ""3""}"
Area,P-07BC-0_A-2,1,,,1,,,,,"{""Id"": ""P-07BC-0_A-2"", ""Address"": ""1"", ""Puid"": ""4""}"
Line,P-07BC-0_L-2,0,,,1,0,,,,"{""Id"": ""P-07BC-0_L-2"", ""Address"": ""0"", ""Puid"": ""5""}"
Segment,P-07BC-0_S-2,,0,,1,0,,,,"{""Id"": ""P-07BC-0_S-2"", ""Number"": ""0"", ""MediumTypeRefId"": ""MT-5"", ""Puid"": ""6""}"
Line,P-07BC-0_L-3,1,,,1,1,,,,"{""Id"": ""P-07BC-0_L-3"", ""Address"": ""1"", ""Puid"": ""7""}"
Segment,P-07BC-0_S-3,,0,,1,1,,,,"{""Id"": ""P-07BC-0_S-3"", ""Number"": ""0"", ""MediumTypeRefId"": ""MT-0"", ""Puid"": ""8""}"
Node,,,,,1,1,,,,"{""Type"": ""Channel"", ""RefId"": ""MD-1_M-1_MI-1_CH-1""}"
Node,,,,,1,1,,,,"{""Type"": ""Folder"", ""RefId"": ""MD-1_M-1_MI-1_PB-313"", ""GroupObjectInstances"": ""MD-1_M-1_MI-1_O-2-859_R-1364 MD-1_M-1_MI-1_O-2-861_R-1352 MD-1_M-1_MI-1_O-2-862_R-1366 MD-1_M-1_MI-1_O-2-860_R-1365 MD-1_M-1_MI-1_O-2-863_R-1353""}"
Node,,,,,1,1,,,,"{""Type"": ""Folder"", ""RefId"": ""MD-1_M-1_MI-1_PB-327"", ""GroupObjectInstances"": ""MD-1_M-1_MI-1_O-2-883_R-1399 MD-1_M-1_MI-1_O-2-885_R-1387 MD-1_M-1_MI-1_O-2-886_R-1401 MD-1_M-1_MI-1_O-2-884_R-1400 MD-1_M-1_MI-1_O-2-887_R-1388""}"
Node,,,,,1,1,,,,"{""Type"": ""Folder"", ""RefId"": ""MD-1_M-1_MI-1_PB-341"", ""GroupObjectInstances"": ""MD-1_M-1_MI-1_O-2-907_R-1434 MD-1_M-1_MI-1_O-2-909_R-1422 MD-1_M-1_MI-1_O-2-910_R-1436 MD-1_M-1_MI-1_O-2-908_R-1435 MD-1_M-1_MI-1_O-2-911_R-1423""}"
Node,,,,,1,1,,,,"{""Type"": ""Folder"", ""RefId"": ""MD-1_M-1_MI-1_PB-355"", ""GroupObjectInstances"": ""MD-1_M-1_MI-1_O-2-931_R-1469 MD-1_M-1_MI-1_O-2-933_R-1457 MD-1_M-1_MI-1_O-2-934_R-1471 MD-1_M-1_MI-1_O-2-932_R-1470 MD-1_M-1_MI-1_O-2-935_R-1458""}"
Node,,,,,1,1,,,,"{""Type"": ""Folder"", ""RefId"": ""MD-1_M-1_MI-1_PB-369"", ""GroupObjectInstances"": ""MD-1_M-1_MI-1_O-2-955_R-1504 MD-1_M-1_MI-1_O-2-957_R-1492 MD-1_M-1_MI-1_O-2-958_R-1506 MD-1_M-1_MI-1_O-2-956_R-1505 MD-1_M-1_MI-1_O-2-959_R-1493""}"
Node,,,,,1,1,,,,"{""Type"": ""Folder"", ""RefId"": ""MD-1_M-1_MI-1_PB-383"", ""GroupObjectInstances"": ""MD-1_M-1_MI-1_O-2-979_R-1539 MD-1_M-1_MI-1_O-2-981_R-1527 MD-1_M-1_MI-1_O-2-982_R-1541 MD-1_M-1_MI-1_O-2-980_R-1540 MD-1_M-1_MI-1_O-2-983_R-1528""}"
