DeviceId,IndividualAddress,DeviceName,ProductRefId,ModelFamily,ChannelId,ObjectRefId,GroupAddressId,RawAddress,GroupName,GroupDPT,DefinitionFile,DefinitionTag,DefinitionId,DefinitionName,DefinitionDescription,DefinitionFunction,InstanceAttributes
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Relay actuator 8-channel,CH-79,O-28_R-33,P-07BC-0_GA-623,2052,On/Off 3,DPST-1-6,P-07BC/0.xml,ComObjectInstanceRef,O-28_R-33,,,,"{""RefId"": ""O-28_R-33"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-623""}"
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Relay actuator 8-channel,CH-79,O-28_R-33,P-07BC-0_GA-623,2052,On/Off 3,DPST-1-6,P-07BC/0.xml,ComObjectInstanceRef,O-28_R-33,,,,"{""RefId"": ""O-28_R-33"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-623""}"
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Relay actuator 8-channel,CH-79,O-28_R-33,P-07BC-0_GA-623,2052,On/Off 3,DPST-1-6,P-07BC/0.xml,ComObjectInstanceRef,O-28_R-33,,,,"{""RefId"": ""O-28_R-33"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-623""}"
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Relay actuator 8-channel,CH-79,O-28_R-33,P-07BC-0_GA-623,2052,On/Off 3,DPST-1-6,P-07BC/0.xml,ComObjectInstanceRef,O-28_R-33,,,,"{""RefId"": ""O-28_R-33"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-623""}"
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Relay actuator 8-channel,CH-79,O-28_R-33,P-07BC-0_GA-623,2052,On/Off 3,DPST-1-6,P-07BC/0.xml,ComObjectInstanceRef,O-28_R-33,,,,"{""RefId"": ""O-28_R-33"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-623""}"
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Relay actuator 8-channel,CH-79,O-29_R-35,P-07BC-0_GA-624,2053,On/Off 3 Info,DPST-1-6,P-07BC/0.xml,ComObjectInstanceRef,O-29_R-35,,,,"{""RefId"": ""O-29_R-35"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-624""}"
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Relay actuator 8-channel,CH-79,O-29_R-35,P-07BC-0_GA-624,2053,On/Off 3 Info,DPST-1-6,P-07BC/0.xml,ComObjectInstanceRef,O-29_R-35,,,,"{""RefId"": ""O-29_R-35"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-624""}"
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Relay actuator 8-channel,CH-79,O-29_R-35,P-07BC-0_GA-624,2053,On/Off 3 Info,DPST-1-6,P-07BC/0.xml,ComObjectInstanceRef,O-29_R-35,,,,"{""RefId"": ""O-29_R-35"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-624""}"
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Relay actuator 8-channel,CH-79,O-29_R-35,P-07BC-0_GA-624,2053,On/Off 3 Info,DPST-1-6,P-07BC/0.xml,ComObjectInstanceRef,O-29_R-35,,,,"{""RefId"": ""O-29_R-35"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-624""}"
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Relay actuator 8-channel,CH-79,O-29_R-35,P-07BC-0_GA-624,2053,On/Off 3 Info,DPST-1-6,P-07BC/0.xml,ComObjectInstanceRef,O-29_R-35,,,,"{""RefId"": ""O-29_R-35"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-624""}"
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Relay actuator 8-channel,CH-79,O-39_R-46,P-07BC-0_GA-625,2054,On/Off 4,DPST-1-6,P-07BC/0.xml,ComObjectInstanceRef,O-39_R-46,,,,"{""RefId"": ""O-39_R-46"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-625""}"
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Relay actuator 8-channel,CH-79,O-39_R-46,P-07BC-0_GA-625,2054,On/Off 4,DPST-1-6,P-07BC/0.xml,ComObjectInstanceRef,O-39_R-46,,,,"{""RefId"": ""O-39_R-46"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-625""}"
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Relay actuator 8-channel,CH-79,O-39_R-46,P-07BC-0_GA-625,2054,On/Off 4,DPST-1-6,P-07BC/0.xml,ComObjectInstanceRef,O-39_R-46,,,,"{""RefId"": ""O-39_R-46"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-625""}"
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Relay actuator 8-channel,CH-79,O-39_R-46,P-07BC-0_GA-625,2054,On/Off 4,DPST-1-6,P-07BC/0.xml,ComObjectInstanceRef,O-39_R-46,,,,"{""RefId"": ""O-39_R-46"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-625""}"
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Relay actuator 8-channel,CH-79,O-39_R-46,P-07BC-0_GA-625,2054,On/Off 4,DPST-1-6,P-07BC/0.xml,ComObjectInstanceRef,O-39_R-46,,,,"{""RefId"": ""O-39_R-46"", ""ChannelId"": ""CH-79"", ""Links"": ""GA-625""}"
