DeviceId,IndividualAddress,Name,ProductRefId,Hardware2ProgramRefId,Puid,ModelFamily,LogicalPath,ChannelIds,ObjectInstanceCount,LinkedGroupAddressCount
P-07BC-0_DI-11,1,,M-0071_H-ZSYKIPISC-1_P-ZSYKIPISC,M-0071_H-ZSYKIPISC-1_HP-6391-11-346B,1275,KIPI SC / communication gateway,Area:P-07BC-0_A-2 > Line:P-07BC-0_L-3 > Segment:P-07BC-0_S-3,,0,0
P-07BC-0_DI-12,2,,M-0071_H-ZDID64V3-1_P-ZDID64V3,M-0071_H-ZDID64V3-1_HP-3351-20-2390,1281,DALI gateway/driver,Area:P-07BC-0_A-2 > Line:P-07BC-0_L-3 > Segment:P-07BC-0_S-3,,0,0
P-07BC-0_DI-13,3,,M-0071_H-ZDID64V3-1_P-ZDID64V3,M-0071_H-ZDID64V3-1_HP-3351-20-2390,1282,DALI gateway/driver,Area:P-07BC-0_A-2 > Line:P-07BC-0_L-3 > Segment:P-07BC-0_S-3,,0,0
P-07BC-0_DI-14,4,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,M-0071_H-ZIOMB8V4-0_HP-4991-1C-AED6,1283,Relay actuator 8-channel,Area:P-07BC-0_A-2 > Line:P-07BC-0_L-3 > Segment:P-07BC-0_S-3,CH-79,16,15
P-07BC-0_DI-15,5,,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,M-0071_H-ZIOMB8V4-0_HP-4991-1C-AED6,1284,Relay actuator 8-channel,Area:P-07BC-0_A-2 > Line:P-07BC-0_L-3 > Segment:P-07BC-0_S-3,CH-79,16,16
P-07BC-0_DI-16,6,,M-0071_H-ZIOMB16V4-0_P-ZIOMB16V4,M-0071_H-ZIOMB16V4-0_HP-4981-1C-94CF,1285,Relay actuator 16-channel,Area:P-07BC-0_A-2 > Line:P-07BC-0_L-3 > Segment:P-07BC-0_S-3,CH-79,32,32
P-07BC-0_DI-17,7,,M-0071_H-ZIOMB16V4-0_P-ZIOMB16V4,M-0071_H-ZIOMB16V4-0_HP-4981-1C-94CF,1286,Relay actuator 16-channel,Area:P-07BC-0_A-2 > Line:P-07BC-0_L-3 > Segment:P-07BC-0_S-3,CH-79,32,32
P-07BC-0_DI-18,8,,M-0071_H-ZIOMB24V2-0_P-ZIOMB24V2,M-0071_H-ZIOMB24V2-0_HP-4951-1C-7327,1287,Relay actuator 24-channel,Area:P-07BC-0_A-2 > Line:P-07BC-0_L-3 > Segment:P-07BC-0_S-3,CH-79,48,48
P-07BC-0_DI-19,9,,M-0071_H-ZIOMBSH8V3-0_P-ZIOMBSH8V3,M-0071_H-ZIOMBSH8V3-0_HP-4B51-1C-84FC,1288,Shutter actuator 8-channel,Area:P-07BC-0_A-2 > Line:P-07BC-0_L-3 > Segment:P-07BC-0_S-3,CH-79,24,24
P-07BC-0_DI-20,10,,M-0071_H-ZIOMBSH8V3-0_P-ZIOMBSH8V3,M-0071_H-ZIOMBSH8V3-0_HP-4B51-1C-84FC,1289,Shutter actuator 8-channel,Area:P-07BC-0_A-2 > Line:P-07BC-0_L-3 > Segment:P-07BC-0_S-3,CH-79,24,24
P-07BC-0_DI-21,11,,M-0071_H-ZIOMBSH8V3-0_P-ZIOMBSH8V3,M-0071_H-ZIOMBSH8V3-0_HP-4B51-1C-84FC,1290,Shutter actuator 8-channel,Area:P-07BC-0_A-2 > Line:P-07BC-0_L-3 > Segment:P-07BC-0_S-3,CH-79,6,6
P-07BC-0_DI-22,12,,M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1,M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621,1291,Universal logic controller / actuator,Area:P-07BC-0_A-2 > Line:P-07BC-0_L-3 > Segment:P-07BC-0_S-3,CH-34,10,10
P-07BC-0_DI-24,13,,M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1,M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621,1293,Universal logic controller / actuator,Area:P-07BC-0_A-2 > Line:P-07BC-0_L-3 > Segment:P-07BC-0_S-3,CH-34,10,10
