DeviceId,Address,DeviceName,ModelFamily,ProductRefId,LikelyFunctionalDomains,EvidenceGroupNames
P-07BC-0_DI-11,1,,KIPI SC / communication gateway,M-0071_H-ZSYKIPISC-1_P-ZSYKIPISC,Not inferable from GA names,
P-07BC-0_DI-12,2,,DALI gateway/driver,M-0071_H-ZDID64V3-1_P-ZDID64V3,Not inferable from GA names,
P-07BC-0_DI-13,3,,DALI gateway/driver,M-0071_H-ZDID64V3-1_P-ZDID64V3,Not inferable from GA names,
P-07BC-0_DI-14,4,,Relay actuator 8-channel,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Blinds/Shutters; Garage; Lighting,Move Garage | On/Off 3 | On/Off 3 Info | On/Off 4 | On/Off 4 Info | On/Off 5 | On/Off 5 Info | On/Off 6 | On/Off 6 Info | On/Off 7 | On/Off 7 Info | On/Off 8 | On/Off 8 Info | Stop Garage | Stop Garage Info
P-07BC-0_DI-15,5,,Relay actuator 8-channel,M-0071_H-ZIOMB8V4-0_P-ZIOMB8V4,Lighting,On/Off 10 | On/Off 10 Info | On/Off 11 | On/Off 11 Info | On/Off 12 | On/Off 12 Info | On/Off 13 | On/Off 13 Info | On/Off 14 | On/Off 14 Info | On/Off 15 | On/Off 15 Info | On/Off 16 | On/Off 16 Info | On/Off 9 | On/Off 9 Info
P-07BC-0_DI-16,6,,Relay actuator 16-channel,M-0071_H-ZIOMB16V4-0_P-ZIOMB16V4,Lighting,On/Off 17 | On/Off 17 Info | On/Off 18 | On/Off 18 Info | On/Off 19 | On/Off 19 Info | On/Off 20 | On/Off 20 Info | On/Off 21 | On/Off 21 Info | On/Off 22 | On/Off 22 Info | On/Off 23 | On/Off 23 Info | On/Off 24 | On/Off 24 Info | On/Off 25 | On/Off 25 Info | On/Off 26 | On/Off 26 Info | On/Off 27 | On/Off 27 Info | On/Off 28 | On/Off 28 Info | On/Off 29 | On/Off 29 Info | On/Off 30 | On/Off 30 Info | On/Off 31 | On/Off 31 Info | On/Off 32 | On/Off 32 Info
P-07BC-0_DI-17,7,,Relay actuator 16-channel,M-0071_H-ZIOMB16V4-0_P-ZIOMB16V4,Lighting,On/Off 33 | On/Off 33 Info | On/Off 34 | On/Off 34 Info | On/Off 35 | On/Off 35 Info | On/Off 36 | On/Off 36 Info | On/Off 37 | On/Off 37 Info | On/Off 38 | On/Off 38 Info | On/Off 39 | On/Off 39 Info | On/Off 40 | On/Off 40 Info | On/Off 41 | On/Off 41 Info | On/Off 42 | On/Off 42 Info | On/Off 43 | On/Off 43 Info | On/Off 44 | On/Off 44 Info | On/Off 45 | On/Off 45 Info | On/Off 46 | On/Off 46 Info | On/Off 47 | On/Off 47 Info | On/Off 48 | On/Off 48 Info
P-07BC-0_DI-18,8,,Relay actuator 24-channel,M-0071_H-ZIOMB24V2-0_P-ZIOMB24V2,Lighting,On/Off 49 | On/Off 49 Info | On/Off 50 | On/Off 50 Info | On/Off 51 | On/Off 51 Info | On/Off 52 | On/Off 52 Info | On/Off 53 | On/Off 53 Info | On/Off 54 | On/Off 54 Info | On/Off 55 | On/Off 55 Info | On/Off 56 | On/Off 56 Info | On/Off 57 | On/Off 57 Info | On/Off 58 | On/Off 58 Info | On/Off 59 | On/Off 59 Info | On/Off 60 | On/Off 60 Info | On/Off 61 | On/Off 61 Info | On/Off 62 | On/Off 62 Info | On/Off 63 | On/Off 63 Info | On/Off 64 | On/Off 64 Info | On/Off 65 | On/Off 65 Info | On/Off 66 | On/Off 66 Info | On/Off 67 | On/Off 67 Info | On/Off 68 | On/Off 68 Info | On/Off 69 | On/Off 69 Info | On/Off 70 | On/Off 70 Info | On/Off 71 | On/Off 71 Info | On/Off 72 | On/Off 72 Info
P-07BC-0_DI-19,9,,Shutter actuator 8-channel,M-0071_H-ZIOMBSH8V3-0_P-ZIOMBSH8V3,Blinds/Shutters,1 Move | 1 Status | 1 Stop | 2 Move | 2 Status | 2 Stop | 3 Move | 3 Status | 3 Stop | 4 Move | 4 Status | 4 Stop | 5 Move | 5 Status | 5 Stop | 6 Move | 6 Status | 6 Stop | 7 Move | 7 Status | 7 Stop | 8 Move | 8 Status | 8 Stop
P-07BC-0_DI-20,10,,Shutter actuator 8-channel,M-0071_H-ZIOMBSH8V3-0_P-ZIOMBSH8V3,Blinds/Shutters,10 Move | 10 Status | 10 Stop | 11 Move | 11 Status | 11 Stop | 12 Move | 12 Status | 12 Stop | 13 Move | 13 Status | 13 Stop | 14 Move | 14 Status | 14 Stop | 15 Move | 15 Status | 15 Stop | 16 Move | 16 Status | 16 Stop | 9 Move | 9 Status | 9 Stop
