GroupAddressId,RawAddress,Name,DatapointType,LinkedDeviceCount,LinkedDevices,SuggestedLogicalDomain
P-07BC-0_GA-619,2048,Move Garage,DPST-1-6,1,P-07BC-0_DI-14(4) Relay actuator 8-channel,Blinds/Shutters; Garage
P-07BC-0_GA-620,2049,Move Garage Info,DPST-5-1,1,P-07BC-0_DI-99(51) Z100 touch panel,Blinds/Shutters; Garage
P-07BC-0_GA-621,2050,Stop Garage,DPST-1-6,2,P-07BC-0_DI-14(4) Relay actuator 8-channel | P-07BC-0_DI-99(51) Z100 touch panel,Blinds/Shutters; Garage
P-07BC-0_GA-622,2051,Stop Garage Info,DPST-1-6,2,P-07BC-0_DI-14(4) Relay actuator 8-channel | P-07BC-0_DI-99(51) Z100 touch panel,Blinds/Shutters; Garage
P-07BC-0_GA-623,2052,On/Off 3,DPST-1-6,1,P-07BC-0_DI-14(4) Relay actuator 8-channel,Lighting
P-07BC-0_GA-624,2053,On/Off 3 Info,DPST-1-6,1,P-07BC-0_DI-14(4) Relay actuator 8-channel,Lighting
P-07BC-0_GA-625,2054,On/Off 4,DPST-1-6,1,P-07BC-0_DI-14(4) Relay actuator 8-channel,Lighting
P-07BC-0_GA-626,2055,On/Off 4 Info,DPST-1-6,1,P-07BC-0_DI-14(4) Relay actuator 8-channel,Lighting
P-07BC-0_GA-627,2056,On/Off 5,DPST-1-6,1,P-07BC-0_DI-14(4) Relay actuator 8-channel,Lighting
P-07BC-0_GA-628,2057,On/Off 5 Info,DPST-1-6,1,P-07BC-0_DI-14(4) Relay actuator 8-channel,Lighting
P-07BC-0_GA-629,2058,On/Off 6,DPST-1-6,1,P-07BC-0_DI-14(4) Relay actuator 8-channel,Lighting
P-07BC-0_GA-630,2059,On/Off 6 Info,DPST-1-6,1,P-07BC-0_DI-14(4) Relay actuator 8-channel,Lighting
P-07BC-0_GA-631,2060,On/Off 7,DPST-1-6,1,P-07BC-0_DI-14(4) Relay actuator 8-channel,Lighting
P-07BC-0_GA-632,2061,On/Off 7 Info,DPST-1-6,1,P-07BC-0_DI-14(4) Relay actuator 8-channel,Lighting
P-07BC-0_GA-633,2062,On/Off 8,DPST-1-6,1,P-07BC-0_DI-14(4) Relay actuator 8-channel,Lighting
P-07BC-0_GA-634,2063,On/Off 8 Info,DPST-1-6,1,P-07BC-0_DI-14(4) Relay actuator 8-channel,Lighting
P-07BC-0_GA-635,2064,On/Off 9,DPST-1-6,2,P-07BC-0_DI-15(5) Relay actuator 8-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-636,2065,On/Off 9 Info,DPST-1-6,2,P-07BC-0_DI-15(5) Relay actuator 8-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-637,2066,On/Off 10,DPST-1-6,1,P-07BC-0_DI-15(5) Relay actuator 8-channel,Lighting
P-07BC-0_GA-638,2067,On/Off 10 Info,DPST-1-6,1,P-07BC-0_DI-15(5) Relay actuator 8-channel,Lighting
P-07BC-0_GA-639,2068,On/Off 11,DPST-1-6,1,P-07BC-0_DI-15(5) Relay actuator 8-channel,Lighting
P-07BC-0_GA-640,2069,On/Off 11 Info,DPST-1-6,1,P-07BC-0_DI-15(5) Relay actuator 8-channel,Lighting
P-07BC-0_GA-641,2070,On/Off 12,DPST-1-6,1,P-07BC-0_DI-15(5) Relay actuator 8-channel,Lighting
P-07BC-0_GA-642,2071,On/Off 12 Info,DPST-1-6,1,P-07BC-0_DI-15(5) Relay actuator 8-channel,Lighting
P-07BC-0_GA-643,2072,On/Off 13,DPST-1-6,1,P-07BC-0_DI-15(5) Relay actuator 8-channel,Lighting
P-07BC-0_GA-644,2073,On/Off 13 Info,DPST-1-6,1,P-07BC-0_DI-15(5) Relay actuator 8-channel,Lighting
P-07BC-0_GA-645,2074,On/Off 14,DPST-1-6,1,P-07BC-0_DI-15(5) Relay actuator 8-channel,Lighting
P-07BC-0_GA-646,2075,On/Off 14 Info,DPST-1-6,1,P-07BC-0_DI-15(5) Relay actuator 8-channel,Lighting
P-07BC-0_GA-647,2076,On/Off 15,DPST-1-6,1,P-07BC-0_DI-15(5) Relay actuator 8-channel,Lighting
P-07BC-0_GA-648,2077,On/Off 15 Info,DPST-1-6,1,P-07BC-0_DI-15(5) Relay actuator 8-channel,Lighting
P-07BC-0_GA-649,2078,On/Off 16,DPST-1-6,1,P-07BC-0_DI-15(5) Relay actuator 8-channel,Lighting
